timestamp_esp32,timestamp_envio_telegram,latencia_segundos,temperatura,umidade
1749488754,1749488759.5473633,5.54736328125,25.2,71
1749488754,1749488760.2553058,6.255305767059326,25.2,71
1749488764,1749488769.544126,5.544126033782959,25.1,70
1749488764,1749488770.263543,6.263542890548706,25.1,70
1749488965,1749488969.5791063,4.579106330871582,25.8,77
1749488965,1749488970.2897973,5.289797306060791,25.8,77
1749488975,1749488979.7694592,4.769459247589111,26,80
1749488975,1749488980.4914613,5.491461277008057,26,80
1749488985,1749488989.9052138,4.905213832855225,25.8,80
1749488985,1749488990.6039922,5.603992223739624,25.8,80
1749488995,1749488999.767659,4.767658948898315,25.5,78
1749488995,1749489000.5199964,5.519996404647827,25.5,78
1749489005,1749489009.690897,4.690896987915039,25.4,76
1749489005,1749489010.4434276,5.443427562713623,25.4,76
1749489035,1749489040.313913,5.313913106918335,25.2,70
1749489035,1749489041.0582697,6.058269739151001,25.2,70
1749489055,1749489059.9614413,4.961441278457642,25.1,69
1749489055,1749489060.68411,5.684109926223755,25.1,69
1749490065,1749490068.9539595,3.9539594650268555,25.9,82
1749490065,1749490069.7060287,4.706028699874878,25.9,82
1749490075,1749490079.0889072,4.088907241821289,26.4,86
1749490075,1749490079.789991,4.7899909019470215,26.4,86
1749490085,1749490089.3762484,4.376248359680176,26.2,88
1749490085,1749490090.1303515,5.130351543426514,26.2,88
1749490095,1749490099.0274675,4.027467489242554,26,89
1749490095,1749490099.7620773,4.762077331542969,26,89
1749490105,1749490108.8782473,3.8782472610473633,25.7,87
1749490105,1749490109.6128051,4.612805128097534,25.7,87
1749490125,1749490128.8762891,3.876289129257202,25.4,83
1749490125,1749490129.5937645,4.593764543533325,25.4,83
1749490135,1749490138.9749486,3.9749486446380615,25.3,80
1749490135,1749490139.6953254,4.6953253746032715,25.3,80
1749490156,1749490159.5548537,3.554853677749634,25.2,77
1749490156,1749490160.259278,4.259278059005737,25.2,77
1749490176,1749490179.535517,3.5355169773101807,25.1,73
1749490176,1749490180.2639067,4.263906717300415,25.1,73
1749490186,1749490189.6358016,3.6358015537261963,25.2,72
1749490186,1749490190.3513696,4.351369619369507,25.2,72
1749490195,1749490198.900235,3.9002349376678467,25.1,71
1749490195,1749490199.643456,4.643455982208252,25.1,71
1749490856,1749490859.70163,3.701630115509033,25.3,72
1749490856,1749490860.4293678,4.429367780685425,25.3,72
1749490856,1749490861.1512907,5.151290655136108,25.3,72
1749490856,1749490861.86159,5.8615899085998535,25.3,72
1749490866,1749490869.5428114,3.542811393737793,25.6,77
1749490866,1749490870.3076146,4.30761456489563,25.6,77
1749490866,1749490871.0786324,5.078632354736328,25.6,77
1749490866,1749490872.0138202,6.013820171356201,25.6,77
1749490876,1749490880.342708,4.342708110809326,25.5,78
1749490876,1749490881.1179008,5.117900848388672,25.5,78
1749490876,1749490881.8451242,5.845124244689941,25.5,78
1749490876,1749490882.5607111,6.560711145401001,25.5,78
1749490886,1749490890.1931021,4.193102121353149,25.4,79
1749490886,1749490890.9417398,4.941739797592163,25.4,79
1749490886,1749490891.67678,5.6767799854278564,25.4,79
1749490886,1749490892.3817356,6.381735563278198,25.4,79
1749490896,1749490899.6361685,3.6361684799194336,25.3,77
1749490896,1749490900.3511784,4.351178407669067,25.3,77
1749490896,1749490901.0627322,5.062732219696045,25.3,77
1749490896,1749490901.827597,5.82759690284729,25.3,77
1749490906,1749490909.4928548,3.4928548336029053,25.2,75
1749490906,1749490910.208761,4.208760976791382,25.2,75
1749490906,1749490910.948014,4.9480140209198,25.2,75
1749490906,1749490911.9642165,5.964216470718384,25.2,75
1749491426,1749491431.6357365,5.635736465454102,25.4,74
1749491426,1749491432.350845,6.350845098495483,25.4,74
1749491436,1749491440.0377555,4.037755489349365,25.5,77
1749491436,1749491440.782722,4.782721996307373,25.5,77
1749491446,1749491451.7372618,5.737261772155762,25.4,79
1749491446,1749491452.4777312,6.477731227874756,25.4,79
1749491466,1749491469.8726573,3.872657299041748,25.3,76
1749491466,1749491470.5966609,4.596660852432251,25.3,76
1749491486,1749491490.1082962,4.108296155929565,25.2,73
1749491486,1749491490.931336,4.931335926055908,25.2,73
1749491516,1749491519.9225235,3.9225234985351562,25.1,70
1749491516,1749491520.8374677,4.837467670440674,25.1,70
1749491586,1749491590.2775035,4.277503490447998,25.2,67
1749491586,1749491591.0274773,5.027477264404297,25.2,67
1749491596,1749491600.1137102,4.113710165023804,25.1,67
1749491596,1749491600.8301103,4.830110311508179,25.1,67
1749492057,1749492061.1198132,4.1198132038116455,25.5,72
1749492057,1749492061.8604057,4.860405683517456,25.5,72
1749492066,1749492072.9186823,6.918682336807251,25.9,77
1749492066,1749492073.6588068,7.658806800842285,25.9,77
1749492086,1749492090.4114587,4.411458730697632,25.7,78
1749492086,1749492091.1293125,5.129312515258789,25.7,78
1749492096,1749492100.388861,4.3888609409332275,25.5,76
1749492096,1749492101.1475623,5.147562265396118,25.5,76
1749492106,1749492111.000845,5.000844955444336,25.3,73
1749492106,1749492111.710361,5.710361003875732,25.3,73
1749492126,1749492130.412117,4.412117004394531,25.2,70
1749492126,1749492131.1831753,5.183175325393677,25.2,70
1749492136,1749492140.5580335,4.558033466339111,25.1,70
1749492136,1749492141.2927613,5.292761325836182,25.1,70
1749492146,1749492150.3360982,4.3360981941223145,25.2,69
1749492146,1749492151.5208604,5.520860433578491,25.2,69
1749492176,1749492180.447256,4.447256088256836,25.1,68
1749492176,1749492181.1872518,5.187251806259155,25.1,68
